"ID","Title","Venue","Year","DOI","OpenReview","Arxiv","Code","Video","Slide","Poster"
"07953","Adaptive differential privacy for federated medical segmentation across modalities and complexity levels","Medical Imaging 2026: Computer-Aided Diagnosis","2026","https://doi.org/10.1117/12.3075111","","https://arxiv.org/abs/2604.06518","","","",""
"07955","A Full Compression Pipeline for Green Federated Learning in Communication-Constrained Environments","","","","","https://arxiv.org/abs/2604.11146","","","",""
"07956","A federated learning framework for deep imputation of missing data in heterogeneous ICU time series","Scientific Reports","2026","https://doi.org/10.1038/s41598-026-49311-7","","","","","",""
"07957","A Comparative Study of Machine Learning Models for Hourly Forecasting of Air Temperature and Relative Humidity","","","","","https://arxiv.org/abs/2603.23282","","","",""
"07958","Robust Synchronisation for Federated Learning in The Face of Correlated Device Failure","","","","","https://arxiv.org/abs/2604.16090","","","",""
"07960","Modeling Sparse and Bursty Vulnerability Sightings: Forecasting Under Data Constraints","","","","","https://arxiv.org/abs/2604.16038","","","",""
"07961","Federated Parameter-Efficient Adaptation for Interference Mitigation at the Wireless Edge","","","","","https://arxiv.org/abs/2604.15936","","","",""
"07962","Federated Learning with Quantum Enhanced LSTM for Applications in High Energy Physics","","","","","https://arxiv.org/abs/2604.15775","","","",""
"07963","Fed3D: Federated 3D Object Detection","","","","","https://arxiv.org/abs/2604.15795","","","",""
"07964","CroSatFL: Energy-Efficient Federated Learning with Cross-Aggregation for Satellite Edge Computing","","","","","https://arxiv.org/abs/2604.15779","","","",""
"07965","Convolutionally Low-Rank Models with Modified Quantile Regression for Interval Time Series Forecasting","","","","","https://arxiv.org/abs/2604.15791","","","",""
"07966","Combining cluster analysis and machine learning for forecasting stock prices","JOURNAL OF SCIENCE AND DEVELOPMENT ECONOMICS","2026","https://doi.org/10.64632/jsde.eng.2.2026.772","","","","","",""
"07967","PLayer-FL: A Principled Approach to Personalized Layer-wise Cross-Silo Federated Learning","","","","","https://arxiv.org/abs/2502.08829","","","",""
