ID,Title,Venue,Year,URL,DOI,OpenReview,Arxiv,Code,Video,Slide,Poster
00036,Federated Learning With Only Positive Labels by Exploring Label Correlations,IEEE Transactions on Neural Networks and Learning Systems,2025,https://ieeexplore.ieee.org/document/10530407,https://doi.org/10.1109/tnnls.2024.3396875,,https://arxiv.org/abs/2004.10342,,,,
00039,Vertically Federated Graph Neural Network for Privacy-Preserving Node Classification,Proceedings of the Thirty-First International Joint Conference on Artificial Intelligence,2022,,https://doi.org/10.24963/ijcai.2022/272,,https://arxiv.org/abs/2005.11903,,,,
00040,Towards Efficient Scheduling of Federated Mobile Devices Under Computational and Statistical Heterogeneity,IEEE Transactions on Parallel and Distributed Systems,2021,https://ieeexplore.ieee.org/document/9195793,https://doi.org/10.1109/tpds.2020.3023905,,https://arxiv.org/abs/2005.12326,,,,
00041,Characterizing Impacts of Heterogeneity in Federated Learning upon Large-Scale Smartphone Data,Proceedings of the Web Conference 2021,2021,,https://doi.org/10.1145/3442381.3449851,,https://arxiv.org/abs/2006.06983,,,,
00042,Ensemble Distillation for Robust Model Fusion in Federated Learning,arXiv,2021,,,,https://arxiv.org/abs/2006.07242,,,,
00043,Hier-pFedMe: Hierarchical Personalized Federated Learning with Moreau Envelopes,2025 IEEE International Conference on Multimedia and Expo (ICME),2025,https://ieeexplore.ieee.org/document/11209227,https://doi.org/10.1109/icme59968.2025.11209227,,https://arxiv.org/abs/2006.08848,,,,
00044,Robust Federated Learning: The Case of Affine Distribution Shifts,arXiv,2020,,,,https://arxiv.org/abs/2006.08907,,,,
00045,Asynchronous Decentralized Accelerated Stochastic Gradient Descent,IEEE Journal on Selected Areas in Information Theory,2021,https://ieeexplore.ieee.org/document/9432405,https://doi.org/10.1109/jsait.2021.3080256,,https://arxiv.org/abs/2006.08950,,,,
00047,Fake Model Free-Rider Attacks in Federated Model Distillation,"2025 IEEE International Conference on Systems, Man,https://doi.org/and Cybernetics (SMC)",2025,https://ieeexplore.ieee.org/document/11342890,https://doi.org/10.1109/smc58881.2025.11342890,,https://arxiv.org/abs/2006.11901,,,,
00048,Federated Learning with Compression: Unified Analysis and Sharp Guarantees,Proceedings of The 24th International Conference on Artificial Intelligence and Statistics,2021,https://proceedings.mlr.press/v130/haddadpour21a.html,,,https://arxiv.org/abs/2007.01154,,,,
00050,FedBoosting: Federated learning with gradient protected boosting for text recognition,Neurocomputing,2024,,https://doi.org/10.1016/j.neucom.2023.127126,,https://arxiv.org/abs/2007.07296,,,,
00051,Tackling the Objective Inconsistency Problem in Heterogeneous Federated Optimization,arXiv,2020,,,,https://arxiv.org/abs/2007.07481,,,,
00052,IBM Federated Learning: an Enterprise Framework White Paper V0.1,arXiv,2020,,,,https://arxiv.org/abs/2007.10987,,,,
00053,HtFLlib: A Comprehensive Heterogeneous Federated Learning Library and Benchmark,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,2025,,https://doi.org/10.1145/3711896.3737379,,https://arxiv.org/abs/2007.13518,,,,
00054,Accelerating Federated Learning over Reliability-Agnostic Clients in Mobile Edge Computing Systems,IEEE Transactions on Parallel and Distributed Systems,2020,https://ieeexplore.ieee.org/document/9272671,https://doi.org/10.1109/TPDS.2020.3040867,,https://arxiv.org/abs/2007.14374,,,,
00055,Federated Learning with Sparsification-Amplified Privacy and Adaptive Optimization,Proceedings of the Thirtieth International Joint Conference on Artificial Intelligence,2021,,https://doi.org/10.24963/ijcai.2021/202,,https://arxiv.org/abs/2008.01558,,,,
00056,Performance Optimization of Federated Person Re-identification via Benchmark Analysis,Proceedings of the 28th ACM International Conference on Multimedia,2020,,https://doi.org/10.1145/3394171.3413814,,https://arxiv.org/abs/2008.11560,,,,
00057,GraphFederator: Federated Visual Analysis for Multi-party Graphs,2024 IEEE 17th Pacific Visualization Conference (PacificVis),2024,https://ieeexplore.ieee.org/document/10541434,https://doi.org/10.1109/pacificvis60374.2024.00027,,https://arxiv.org/abs/2008.11989,,,,
00058,Federated Learning With Nesterov Accelerated Gradient,IEEE Transactions on Parallel and Distributed Systems,2022,https://ieeexplore.ieee.org/document/9891808,https://doi.org/10.1109/TPDS.2022.3206480,,https://arxiv.org/abs/2009.08716,,,,
00059,FedCluster: Boosting the Convergence of Federated Learning via Cluster-Cycling,2020 IEEE International Conference on Big Data (Big Data),2020,https://ieeexplore.ieee.org/document/9377960,https://doi.org/10.1109/BigData50022.2020.9377960,,https://arxiv.org/abs/2009.10748,,,,
00061,FedGroup: Efficient Federated Learning via Decomposed Similarity-Based Clustering,"2021 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing,https://doi.org/Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)",2021,https://ieeexplore.ieee.org/document/9644782,https://doi.org/10.1109/ISPA-BDCloud-SocialCom-SustainCom52081.2021.00042,,https://arxiv.org/abs/2010.06870,,,,
00062,GFL: A Decentralized Federated Learning Framework Based On Blockchain,arXiv,2021,,,,https://arxiv.org/abs/2010.10996,,,,
00063,An Efficiency-Boosting Client Selection Scheme for Federated Learning With Fairness Guarantee,IEEE Transactions on Parallel and Distributed Systems,2021,https://ieeexplore.ieee.org/document/9272649,https://doi.org/10.1109/TPDS.2020.3040887,,https://arxiv.org/abs/2011.01783,,,,
00064,ASFGNN: Automated separated-federated graph neural network,Peer-to-Peer Networking and Applications,2021,,https://doi.org/10.1007/s12083-021-01074-w,,https://arxiv.org/abs/2011.03248,,,,
00065,Holistic Evaluation Metrics for Federated Learning,2024 27th International Conference on Computer Supported Cooperative Work in Design (CSCWD),2024,https://ieeexplore.ieee.org/document/10580669,https://doi.org/10.1109/cscwd61410.2024.10580669,,https://arxiv.org/abs/2011.09655,,,,
00066,Faster Non-Convex Federated Learning via Global and Local Momentum,Proceedings of the Thirty-Eighth Conference on Uncertainty in Artificial Intelligence,2022,https://proceedings.mlr.press/v180/das22b.html,,https://openreview.net/forum?id=SSlLRUIs9e9,https://arxiv.org/abs/2012.04061,,,,
00067,Ditto: Fair and Robust Federated Learning Through Personalization,Proceedings of the 38th International Conference on Machine Learning,2021,https://proceedings.mlr.press/v139/li21h.html,,,https://arxiv.org/abs/2012.04221,,,,
00068,Soteria: Provable Defense against Privacy Leakage in Federated Learning from Representation Perspective,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2021,https://ieeexplore.ieee.org/document/9578192,https://doi.org/10.1109/cvpr46437.2021.00919,,https://arxiv.org/abs/2012.06043,,,,
00070,To Talk or to Work: Flexible Communication Compression for Energy Efficient Federated Learning over Heterogeneous Mobile Edge Devices,IEEE INFOCOM 2021 - IEEE Conference on Computer Communications,2021,https://ieeexplore.ieee.org/document/9488839,https://doi.org/10.1109/infocom42981.2021.9488839,,https://arxiv.org/abs/2012.11804,,,,
00071,Federated Block Coordinate Descent Scheme for Learning Global and Personalized Models,Proceedings of the AAAI Conference on Artificial Intelligence,2021,,https://doi.org/10.1609/aaai.v35i12.17240,,https://arxiv.org/abs/2012.13900,,,,
00072,Achieving Linear Speedup with Partial Worker Participation in Non-IID Federated Learning,arXiv,2021,,,,https://arxiv.org/abs/2101.11203,,,,
00075,Federated Learning on Non-IID Data Silos: An Experimental Study,2022 IEEE 38th International Conference on Data Engineering (ICDE),2022,https://ieeexplore.ieee.org/document/9835537,https://doi.org/10.1109/icde53745.2022.00077,,https://arxiv.org/abs/2102.02079,,,,
00076,Partially shared federated multiview learning,Knowledge-Based Systems,2024,,https://doi.org/10.1016/j.knosys.2024.112302,,https://arxiv.org/abs/2102.03448,,,,
00077,Proximal and Federated Random Reshuffling,Proceedings of the 39th International Conference on Machine Learning,2022,https://proceedings.mlr.press/v162/mishchenko22a.html,,,https://arxiv.org/abs/2102.06704,,,,
00078,Linear Convergence in Federated Learning: Tackling Client Heterogeneity and Sparse Gradients,arXiv,2021,,,,https://arxiv.org/abs/2102.07053,,,,
00079,Utilizing Additional Personalized Representations for Personalized Federated Learning,2025 IEEE International Conference on Multimedia and Expo (ICME),2025,https://ieeexplore.ieee.org/document/11209449,https://doi.org/10.1109/icme59968.2025.11209449,,https://arxiv.org/abs/2102.07078,,,,
00080,Federated Learning over Wireless Networks: A Band-limited Coordinated Descent Approach,IEEE INFOCOM 2021 - IEEE Conference on Computer Communications,2021,https://ieeexplore.ieee.org/document/9488818,https://doi.org/10.1109/infocom42981.2021.9488818,,https://arxiv.org/abs/2102.07972,,,,
00081,Federated Multi-Armed Bandits,Proceedings of the AAAI Conference on Artificial Intelligence,2021,,https://doi.org/10.1609/aaai.v35i11.17156,,https://arxiv.org/abs/2102.13101,,,,
00082,FjORD: Fair and Accurate Federated Learning under heterogeneous targets with Ordered Dropout,arXiv,2022,,,,https://arxiv.org/abs/2102.13451,,,,
00083,One-Shot Clustering for Federated Learning,2024 IEEE International Conference on Big Data (BigData),2024,https://ieeexplore.ieee.org/document/10825763,https://doi.org/10.1109/bigdata62323.2024.10825763,,https://arxiv.org/abs/2103.00697,,,,
00084,Multi-institutional Collaborations for Improving Deep Learning-based Magnetic Resonance Image Reconstruction Using Federated Learning,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2021,https://ieeexplore.ieee.org/document/9578476,https://doi.org/10.1109/cvpr46437.2021.00245,,https://arxiv.org/abs/2103.02148,,,,
00085,Personalized Federated Learning using Hypernetworks,Proceedings of the 38th International Conference on Machine Learning,2021,https://proceedings.mlr.press/v139/shamsian21a.html,,,https://arxiv.org/abs/2103.04628,,,,
00088,PyVertical: A Vertical Federated Learning Framework for Multi-headed SplitNN,arXiv,2021,,,,https://arxiv.org/abs/2104.00489,,,,
00089,On-device Federated Learning with Flower,arXiv,2021,,,,https://arxiv.org/abs/2104.03042,,,,
00091,FedGraphNN: A Federated Learning System and Benchmark for Graph Neural Networks,arXiv,2021,,,,https://arxiv.org/abs/2104.07145,,,,
00092,Federated Learning of User Verification Models Without Sharing Embeddings,Proceedings of the 38th International Conference on Machine Learning,2021,https://proceedings.mlr.press/v139/hosseini21a.html,,,https://arxiv.org/abs/2104.08776,,,,
00093,FedNLP: Benchmarking Federated Learning Methods for Natural Language Processing Tasks,Findings of the Association for Computational Linguistics: NAACL 2022,2022,,https://doi.org/10.18653/v1/2022.findings-naacl.13,,https://arxiv.org/abs/2104.08815,,,,
00094,A Graph Federated Architecture with Privacy Preserving Learning,2021 IEEE 22nd International Workshop on Signal Processing Advances in Wireless Communications (SPAWC),2021,https://ieeexplore.ieee.org/document/9593148,https://doi.org/10.1109/spawc51858.2021.9593148,,https://arxiv.org/abs/2104.13215,,,,
00095,Federated Learning with Fair Averaging,Proceedings of the Thirtieth International Joint Conference on Artificial Intelligence,2021,,https://doi.org/10.24963/ijcai.2021/223,,https://arxiv.org/abs/2104.14937,,,,
00096,OpenFL: the open federated learning library,Physics in Medicine & Biology,2022,,https://doi.org/10.1088/1361-6560/ac97d9,,https://arxiv.org/abs/2105.06413,,,,
00097,Private Hierarchical Clustering in Federated Networks,Proceedings of the 2021 ACM SIGSAC Conference on Computer and Communications Security,2021,,https://doi.org/10.1145/3460120.3484822,,https://arxiv.org/abs/2105.09057,,,,
00098,Separation of Powers in Federated Learning (Poster Paper),Proceedings of the First Workshop on Systems Challenges in Reliable and Secure Federated Learning,2021,,https://doi.org/10.1145/3477114.3488765,,https://arxiv.org/abs/2105.09400,,,,
00099,Federated Graph Learning -- A Position Paper,arXiv,2021,,,,https://arxiv.org/abs/2105.11099,,,,
00101,Hybrid deterministic-stochastic gradient Langevin dynamics for Bayesian learning,Proceedings of The 25th International Conference on Artificial Intelligence and Statistics,2022,https://proceedings.mlr.press/v151/vono22a.html,https://doi.org/10.4310/cis.2012.v12.n3.a3,,https://arxiv.org/abs/2106.00797,,,,
00102,Preservation of the Global Knowledge by Not-True Distillation in Federated Learning,Advances in Neural Information Processing Systems 35,2022,,https://doi.org/10.52202/068431-2787,,https://arxiv.org/abs/2106.03097,,,,
00103,"Federated Hyperparameter Tuning: Challenges, Baselines, and Connections to Weight-Sharing",arXiv,2021,,,,https://arxiv.org/abs/2106.04502,,,,
00104,Memory-Based Optimization Methods for Model-Agnostic Meta-Learning and Personalized Federated Learning,arXiv,2023,,,,https://arxiv.org/abs/2106.04911,,,,
00105,Rethinking Architecture Design for Tackling Data Heterogeneity in Federated Learning,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2022,https://ieeexplore.ieee.org/document/9880336,https://doi.org/10.1109/cvpr52688.2022.00982,,https://arxiv.org/abs/2106.06047,,,,
00106,A Coupled Design of Exploiting Record Similarity for Practical Vertical Federated Learning,Advances in Neural Information Processing Systems 35,2022,,https://doi.org/10.52202/068431-1533,,https://arxiv.org/abs/2106.06312,,,,
00109,Resource-efficient federated machine unlearning via evolutionary synaptic pruning for cloud-based distributed learning systems,Scientific Reports,2026,,https://doi.org/10.1038/s41598-026-51460-8,,,,,,
00110,Physics-Informed Neural Networks for Glucose-Insulin Digital Twins Leveraging Federated Learning and IoBNT,,2026,,https://doi.org/10.21203/rs.3.rs-9709885/v1,,,,,,
00114,Autonomous Trust and Zero-Knowledge Blockchain Framework for Secure Federated Training of Medical Foundation Models,International Journal of Computational Intelligence Systems,2026,,https://doi.org/10.1007/s44196-026-01384-y,,,,,,
00118,FedJAX: Federated learning simulation with JAX,arXiv,2021,,,,https://arxiv.org/abs/2108.02117,,,,
00119,FedChain: Chained Algorithms for Near-Optimal Communication Cost in Federated Learning,arXiv,2023,,,,https://arxiv.org/abs/2108.06869,,,,
00120,Collaboration Equilibrium in Federated Learning,Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,2022,,https://doi.org/10.1145/3534678.3539237,,https://arxiv.org/abs/2108.07926,,,,
00121,Addressing Data Heterogeneity and Disparity in Federated Learning,"2025 32nd IEEE International Conference on Electronics, Circuits and Systems (ICECS)",2025,https://ieeexplore.ieee.org/document/11270791,https://doi.org/10.1109/icecs66544.2025.11270791,,https://arxiv.org/abs/2108.08435,,,,
00122,Flexible Clustered Federated Learning for Client-Level Data Distribution Shift,IEEE Transactions on Parallel and Distributed Systems,2021,https://ieeexplore.ieee.org/document/9647969,https://doi.org/10.1109/TPDS.2021.3134263,,https://arxiv.org/abs/2108.09749,,,,
00123,Seizing Critical Learning Periods in Federated Learning,Proceedings of the AAAI Conference on Artificial Intelligence,2022,,https://doi.org/10.1609/aaai.v36i8.20859,,https://arxiv.org/abs/2109.05613,,,,
00124,OpenFed: A Comprehensive and Versatile Open-Source Federated Learning Framework,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),2023,https://ieeexplore.ieee.org/document/10208573,https://doi.org/10.1109/cvprw59228.2023.00530,,https://arxiv.org/abs/2109.07852,,,,
00125,FedIPR: Ownership Verification for Federated Deep Neural Network Models,Digital Watermarking for Machine Learning Model,2023,,https://doi.org/10.1007/978-981-19-7554-7_10,,https://arxiv.org/abs/2109.13236,,,,
00127,Asynchronous Upper Confidence Bound Algorithms for Federated Linear Bandits,Proceedings of The 25th International Conference on Artificial Intelligence and Statistics,2022,https://proceedings.mlr.press/v151/li22e.html,,,https://arxiv.org/abs/2110.01463,,,,
00129,Federated Learning from Small Datasets,arXiv,2023,,,,https://arxiv.org/abs/2110.03469,,,,
00130,Graph-Fraudster: Adversarial Attacks on Graph Neural Network-Based Vertical Federated Learning,IEEE Transactions on Computational Social Systems,2023,https://ieeexplore.ieee.org/document/9745270,https://doi.org/10.1109/tcss.2022.3161016,,https://arxiv.org/abs/2110.06468,,,,
00132,Layer-Wise Adaptive Model Aggregation for Scalable Federated Learning,Proceedings of the AAAI Conference on Artificial Intelligence,2023,,https://doi.org/10.1609/aaai.v37i7.26023,,https://arxiv.org/abs/2110.10302,,,,
00134,PipAttack: Poisoning Federated Recommender Systems for Manipulating Item Promotion,Proceedings of the Fifteenth ACM International Conference on Web Search and Data Mining,2022,,https://doi.org/10.1145/3488560.3498386,,https://arxiv.org/abs/2110.10926,,,,
00135,Federated Unlearning via Class-Discriminative Pruning,Proceedings of the ACM Web Conference 2022,2022,,https://doi.org/10.1145/3485447.3512222,,https://arxiv.org/abs/2110.11794,,,,
00136,FL-WBC: Enhancing Robustness against Model Poisoning Attacks in Federated Learning from a Client Perspective,arXiv,2021,,,,https://arxiv.org/abs/2110.13864,,,,
00137,What Do We Mean by Generalization in Federated Learning?,arXiv,2022,,,,https://arxiv.org/abs/2110.14216,,,,
00138,UAV Mission Planning for Post-Disaster Victim Localisation via Federated Multi-Agent Reinforcement Learning,Drones,2026,,https://doi.org/10.3390/drones10050385,,,,,,
00139,Federated Learning Based on Dynamic Regularization,arXiv,2021,,,,https://arxiv.org/abs/2111.04263,,,,
00140,Power Allocation for Wireless Federated Learning Using Graph Neural Networks,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",2022,https://ieeexplore.ieee.org/document/9747764,https://doi.org/10.1109/icassp43922.2022.9747764,,https://arxiv.org/abs/2111.07480,,,,
00141,FedCG: Leverage Conditional GAN for Protecting Privacy and Maintaining Competitive Performance in Federated Learning,Proceedings of the Thirty-First International Joint Conference on Artificial Intelligence,2022,,https://doi.org/10.24963/ijcai.2022/324,,https://arxiv.org/abs/2111.08211,,,,
00143,Federated Social Recommendation with Graph Neural Network,ACM Transactions on Intelligent Systems and Technology,2022,,https://doi.org/10.1145/3501815,,https://arxiv.org/abs/2111.10778,,,,
00144,FedCV: A Federated Learning Framework for Diverse Computer Vision Tasks,arXiv,2021,,,,https://arxiv.org/abs/2111.11066,,,,
00145,Decentralized federated learning through proxy model sharing,Nature Communications,2023,,https://doi.org/10.1038/s41467-023-38569-4,,https://arxiv.org/abs/2111.11343,,,,
00146,Tackling System and Statistical Heterogeneity for Federated Learning with Adaptive Client Sampling,IEEE INFOCOM 2022 - IEEE Conference on Computer Communications,2022,https://ieeexplore.ieee.org/document/9796935,https://doi.org/10.1109/infocom48880.2022.9796935,,https://arxiv.org/abs/2112.11256,,,,
00147,Federated Learning with Heterogeneous Architectures using Graph HyperNetworks,arXiv,2022,,,,https://arxiv.org/abs/2201.08459,,,,
00148,FedGCN: Convergence-Communication Tradeoffs in Federated Training of Graph Convolutional Networks,Advances in Neural Information Processing Systems 36,2023,,https://doi.org/10.52202/075280-3491,,https://arxiv.org/abs/2201.12433,,,,
00153,Olive: Oblivious Federated Learning on Trusted Execution Environment against the Risk of Sparsification,Proceedings of the VLDB Endowment,2023,,https://doi.org/10.14778/3603581.3603583,,https://arxiv.org/abs/2202.07165,,,,
00154,No One Left Behind: Inclusive Federated Learning over Heterogeneous Devices,Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,2022,,https://doi.org/10.1145/3534678.3539086,,https://arxiv.org/abs/2202.08036,,,,
00155,Towards Verifiable Federated Learning,Proceedings of the Thirty-First International Joint Conference on Artificial Intelligence,2022,,https://doi.org/10.24963/ijcai.2022/792,,https://arxiv.org/abs/2202.08310,,,,
00156,Bitwidth Heterogeneous Federated Learning with Progressive Weight Dequantization,Proceedings of the 39th International Conference on Machine Learning,2022,https://proceedings.mlr.press/v162/yoon22a.html,,,https://arxiv.org/abs/2202.11453,,,,
00157,Graph-Assisted Communication-Efficient Ensemble Federated Learning,2022 30th European Signal Processing Conference (EUSIPCO),2022,,https://doi.org/10.23919/eusipco55093.2022.9909826,,https://arxiv.org/abs/2202.13447,,,,
00158,The Fundamental Price of Secure Aggregation in Differentially Private Federated Learning,Proceedings of the 39th International Conference on Machine Learning,2022,https://proceedings.mlr.press/v162/chen22c.html,,,https://arxiv.org/abs/2203.03761,,,,
00159,Federated Minimax Optimization: Improved Convergence Analyses and Algorithms,Proceedings of the 39th International Conference on Machine Learning,2022,https://proceedings.mlr.press/v162/sharma22c.html,,,https://arxiv.org/abs/2203.04850,,,,
00160,Auto-FedRL: Federated Hyperparameter Optimization for Multi-institutional Medical Image Segmentation,Lecture Notes in Computer Science,2022,,https://doi.org/10.1007/978-3-031-19803-8_26,,https://arxiv.org/abs/2203.06338,,,,
00161,Privatized Graph Federated Learning,,2023,,https://doi.org/10.21203/rs.3.rs-2484033/v1,,https://arxiv.org/abs/2203.07105,,,,
00163,Fine-tuning Global Model via Data-Free Knowledge Distillation for Non-IID Federated Learning,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2022,https://ieeexplore.ieee.org/document/9879661,https://doi.org/10.1109/cvpr52688.2022.00993,,https://arxiv.org/abs/2203.09249,,,,
00164,Efficient Federated Learning on Knowledge Graphs via Privacy-preserving Relation Embedding Aggregation,Findings of the Association for Computational Linguistics: EMNLP 2022,2022,,https://doi.org/10.18653/v1/2022.findings-emnlp.43,,https://arxiv.org/abs/2203.09553,,,,
00165,FedDC: Federated Learning with Non-IID Data via Local Drift Decoupling and Correction,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2022,https://ieeexplore.ieee.org/document/9878652,https://doi.org/10.1109/cvpr52688.2022.00987,,https://arxiv.org/abs/2203.11751,,,,
00166,"FLUTE: A Scalable, Extensible Framework for High-Performance Federated Learning Simulations",arXiv,2022,,,,https://arxiv.org/abs/2203.13789,,,,
00167,FedADMM: A Robust Federated Deep Learning Framework with Adaptivity to System Heterogeneity,2022 IEEE 38th International Conference on Data Engineering (ICDE),2022,https://ieeexplore.ieee.org/document/9835545,https://doi.org/10.1109/icde53745.2022.00238,,https://arxiv.org/abs/2204.03529,,,,
00168,FedCorr: Multi-Stage Federated Learning for Label Noise Correction,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2022,https://ieeexplore.ieee.org/document/9878965,https://doi.org/10.1109/cvpr52688.2022.00994,,https://arxiv.org/abs/2204.04677,,,,
00169,"FederatedScope-GNN: Towards a Unified, Comprehensive and Efficient Package for Federated Graph Learning",Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,2022,,https://doi.org/10.1145/3534678.3539112,,https://arxiv.org/abs/2204.05562,,,,
00170,Self-Aware Personalized Federated Learning,Advances in Neural Information Processing Systems 35,2022,,https://doi.org/10.52202/068431-1503,,https://arxiv.org/abs/2204.08069,,,,
00171,Federated learning enables big data for rare cancer boundary detection,Nature Communications,2022,,https://doi.org/10.1038/s41467-022-33407-5,,https://arxiv.org/abs/2204.10836,,,,
00172,FedDUAP: Federated Learning with Dynamic Update and Adaptive Pruning Using Shared Data on the Server,Proceedings of the Thirty-First International Joint Conference on Artificial Intelligence,2022,,https://doi.org/10.24963/ijcai.2022/385,,https://arxiv.org/abs/2204.11536,,,,
00174,Backdoor Attacks in Federated Learning by Rare Embeddings and Gradient Ensembling,Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing,2022,,https://doi.org/10.18653/v1/2022.emnlp-main.6,,https://arxiv.org/abs/2204.14017,,,,
00175,Layer-wised Model Aggregation for Personalized Federated Learning,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2022,https://ieeexplore.ieee.org/document/9880164,https://doi.org/10.1109/cvpr52688.2022.00985,,https://arxiv.org/abs/2205.03993,,,,
00182,DELTA: Diverse Client Sampling for Fasting Federated Learning,Advances in Neural Information Processing Systems 36,2023,,https://doi.org/10.52202/075280-2063,,https://arxiv.org/abs/2205.13925,,,,
00183,Federated Neural Bandits,arXiv,2023,,,,https://arxiv.org/abs/2205.14309,,,,
00185,FedWalk: Communication Efficient Federated Unsupervised Node Embedding with Differential Privacy,arXiv,2022,,,,https://arxiv.org/abs/2205.15896,,,,
00187,A Communication-Efficient Algorithm with Linear Convergence for Federated Minimax Learning,Advances in Neural Information Processing Systems 35,2022,,https://doi.org/10.52202/068431-0439,,https://arxiv.org/abs/2206.01132,,,,
00188,Pretrained Models for Multilingual Federated Learning,Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,2022,,https://doi.org/10.18653/v1/2022.naacl-main.101,,https://arxiv.org/abs/2206.02291,,,,
00189,FedHPO-B: A Benchmark Suite for Federated Hyperparameter Optimization,arXiv,2022,,,,https://arxiv.org/abs/2206.03966,,,,
00191,Disentangled Federated Learning for Tackling Attributes Skew via Invariant Aggregation and Diversity Transferring,Proceedings of the 39th International Conference on Machine Learning,2022,https://proceedings.mlr.press/v162/luo22b.html,,,https://arxiv.org/abs/2206.06818,,,,
